"Quantity","LCSC Part Number","Value","Footprint"
"8","C560233","1x5 screw plug",""
"1","C20616071","FFC Cable",""
"37","C307331","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
"2","C440198","10u/50v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"1","C9196","1n/2KV","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"2","C45783","22u/25v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"3","C2297","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"32","C64898","SM4007PL","D_SOD-123F"
"8","C2830235","50mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder"
"1","C11075","FFC Connector","AFC11-S24ICC-00"
"8","C880557","input_1x5","PhoenixContact_MCV_1,5_5-G-3.5_1x05_P3.50mm_Vertical"
"2","C206304","3.3uH","L_1008_2520Metric_Pad1.43x2.20mm_HandSolder"
"1","C22749764","2412S-3WR2","Converter_DCDC_XP_POWER-ITxxxxxS_THT"
"64","C5381782","MMBTA44","SOT-23W"
"32","C25104","330R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"1","C17673","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"35","C25792","47k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
"64","C17556","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"4","C26159248","74HC165","TSSOP-16_4.4x5mm_P0.65mm"
"1","C5441728","GX101","SOT-23-6"
"8","C5143796","LTV-244-GB-G","SOP-16_4.4x10.4mm_P1.27mm"
