Designator,Mid X,Mid Y,Layer,Rotation
"C1",-24.700,-11.900,top,0.000
"C2",24.700,11.900,top,180.000
"C3",29.250,-0.500,top,90.000
"C4",16.300,-11.900,top,0.000
"C5",-16.300,11.900,top,180.000
"C6",3.200,-7.400,top,0.000
"C7",5.700,-7.400,top,0.000
"C8",8.300,-7.400,top,0.000
"C9",10.800,-7.400,top,0.000
"C10",23.700,-7.400,top,0.000
"C11",26.200,-7.400,top,0.000
"C12",28.800,-7.400,top,0.000
"C13",31.300,-7.400,top,0.000
"C14",17.300,7.400,top,180.000
"C15",14.800,7.400,top,180.000
"C16",12.200,7.400,top,180.000
"C17",9.700,7.400,top,180.000
"C18",-17.300,-7.400,top,0.000
"C19",-14.800,-7.400,top,0.000
"C20",-12.200,-7.400,top,0.000
"C21",-9.700,-7.400,top,0.000
"C22",37.800,7.400,top,180.000
"C23",35.300,7.400,top,180.000
"C24",32.700,7.400,top,180.000
"C25",30.200,7.400,top,180.000
"C26",-3.200,7.400,top,180.000
"C27",-5.700,7.400,top,180.000
"C28",-8.300,7.400,top,180.000
"C29",-10.800,7.400,top,180.000
"C30",-23.700,7.400,top,180.000
"C31",-26.200,7.400,top,180.000
"C32",-28.800,7.400,top,180.000
"C33",-31.300,7.400,top,180.000
"C34",-14.400,-2.900,top,180.000
"C35",-18.250,0.250,top,90.000
"C36",-35.500,9.000,top,180.000
"C37",-40.500,9.000,top,0.000
"C38",-39.500,16.750,top,270.000
"C39",-37.800,-7.400,top,0.000
"C40",-35.300,-7.400,top,0.000
"C41",-32.700,-7.400,top,0.000
"C42",-30.200,-7.400,top,0.000
"D1",10.500,0.000,top,270.000
"D2",1.500,-30.500,top,270.000
"D3",5.800,-30.500,top,270.000
"D4",10.100,-30.500,top,270.000
"D5",14.400,-30.500,top,270.000
"D6",22.000,-30.500,top,270.000
"D7",26.300,-30.500,top,270.000
"D8",30.600,-30.500,top,270.000
"D9",34.900,-30.500,top,270.000
"D10",19.000,30.500,top,90.000
"D11",14.700,30.500,top,90.000
"D12",10.400,30.500,top,90.000
"D13",6.100,30.500,top,90.000
"D14",-19.000,-30.500,top,270.000
"D15",-14.700,-30.500,top,270.000
"D16",-10.400,-30.500,top,270.000
"D17",-6.100,-30.500,top,270.000
"D18",39.500,30.500,top,90.000
"D19",35.200,30.500,top,90.000
"D20",30.900,30.500,top,90.000
"D21",26.600,30.500,top,90.000
"D22",-1.500,30.500,top,90.000
"D23",-5.800,30.500,top,90.000
"D24",-10.100,30.500,top,90.000
"D25",-14.400,30.500,top,90.000
"D26",-22.000,30.500,top,90.000
"D27",-26.300,30.500,top,90.000
"D28",-30.600,30.500,top,90.000
"D29",-34.900,30.500,top,90.000
"D30",-10.500,0.000,top,270.000
"D31",-41.500,16.750,top,90.000
"D32",-39.500,-30.500,top,270.000
"D33",-35.200,-30.500,top,270.000
"D34",-30.900,-30.500,top,270.000
"D35",-26.600,-30.500,top,270.000
"F1",19.000,-27.800,top,90.000
"F2",39.500,-27.800,top,90.000
"F3",1.500,27.800,top,270.000
"F4",-1.500,-27.800,top,90.000
"F5",22.000,27.800,top,270.000
"F6",-19.000,27.800,top,270.000
"F7",-39.500,27.800,top,270.000
"F8",-22.000,-27.800,top,90.000
"J1",0.000,0.000,top,0.000
"L1",-13.000,0.250,top,90.000
"L2",-15.750,0.250,top,270.000
"Q1",2.650,-22.300,top,90.000
"Q2",6.800,-22.300,top,90.000
"Q3",11.100,-22.300,top,90.000
"Q4",15.400,-22.300,top,90.000
"Q5",2.650,-18.400,top,270.000
"Q6",6.200,-18.400,top,270.000
"Q7",9.700,-18.400,top,270.000
"Q8",13.200,-18.400,top,270.000
"Q9",23.150,-22.300,top,90.000
"Q10",27.300,-22.300,top,90.000
"Q11",31.600,-22.300,top,90.000
"Q12",35.900,-22.300,top,90.000
"Q13",23.150,-18.400,top,270.000
"Q14",26.700,-18.400,top,270.000
"Q15",30.200,-18.400,top,270.000
"Q16",33.700,-18.400,top,270.000
"Q17",17.850,22.300,top,270.000
"Q18",13.700,22.300,top,270.000
"Q19",9.400,22.300,top,270.000
"Q20",5.100,22.300,top,270.000
"Q21",17.850,18.400,top,90.000
"Q22",14.300,18.400,top,90.000
"Q23",10.800,18.400,top,90.000
"Q24",7.300,18.400,top,90.000
"Q25",-17.850,-22.300,top,90.000
"Q26",-13.700,-22.300,top,90.000
"Q27",-9.400,-22.300,top,90.000
"Q28",-5.100,-22.300,top,90.000
"Q29",-17.850,-18.400,top,270.000
"Q30",-14.300,-18.400,top,270.000
"Q31",-10.800,-18.400,top,270.000
"Q32",-7.300,-18.400,top,270.000
"Q33",38.350,22.300,top,270.000
"Q34",34.200,22.300,top,270.000
"Q35",29.900,22.300,top,270.000
"Q36",25.600,22.300,top,270.000
